dataset,model,scored
fracas,gpt-4o,True
fracas,gpt-5.4,True
fracas,deepseek-r1,True
fracas,deepseek-v4-pro,True
fracas,grok-4-20,True
fracas,grok-4-20-reasoning,True
fracas,llama-3.3-70b,True
fracas,llama-4-maverick,True
fracas,mistral-large-3,True
fracas-translated,gpt-4o,True
fracas-translated,gpt-5.4,True
fracas-translated,deepseek-r1,True
fracas-translated,deepseek-v4-pro,True
fracas-translated,grok-4-20,True
fracas-translated,grok-4-20-reasoning,True
fracas-translated,llama-3.3-70b,True
fracas-translated,llama-4-maverick,True
fracas-translated,mistral-large-3,True
fracas-extended,gpt-4o,False
fracas-extended,gpt-5.4,False
fracas-extended,deepseek-r1,False
fracas-extended,deepseek-v4-pro,False
fracas-extended,grok-4-20,False
fracas-extended,grok-4-20-reasoning,False
fracas-extended,llama-3.3-70b,False
fracas-extended,llama-4-maverick,False
fracas-extended,mistral-large-3,False
fracas-multilabel,gpt-4o,True
fracas-multilabel,gpt-5.4,True
fracas-multilabel,deepseek-r1,True
fracas-multilabel,deepseek-v4-pro,True
fracas-multilabel,grok-4-20,True
fracas-multilabel,grok-4-20-reasoning,True
fracas-multilabel,llama-3.3-70b,True
fracas-multilabel,llama-4-maverick,True
fracas-multilabel,mistral-large-3,True
oyxoy,gpt-4o,True
oyxoy,gpt-5.4,True
oyxoy,deepseek-r1,True
oyxoy,deepseek-v4-pro,True
oyxoy,grok-4-20,True
oyxoy,grok-4-20-reasoning,True
oyxoy,llama-3.3-70b,True
oyxoy,llama-4-maverick,True
oyxoy,mistral-large-3,True
