dataset,model,section,section_name,n_correct,n_items,accuracy
fracas,deepseek-r1,1,Generalized Quantifiers,54,80,0.675
fracas,deepseek-r1,2,Plurals,24,33,0.7272727272727273
fracas,deepseek-r1,3,Anaphora,22,28,0.7857142857142857
fracas,deepseek-r1,4,Ellipsis,35,55,0.6363636363636364
fracas,deepseek-r1,5,Adjectives,15,23,0.6521739130434783
fracas,deepseek-r1,6,Comparatives,22,31,0.7096774193548387
fracas,deepseek-r1,7,Temporal Reference,48,71,0.676056338028169
fracas,deepseek-r1,8,Verbs,8,8,1.0
fracas,deepseek-r1,9,Attitudes,11,13,0.8461538461538461
fracas,deepseek-v4-pro,1,Generalized Quantifiers,63,80,0.7875
fracas,deepseek-v4-pro,2,Plurals,25,33,0.7575757575757576
fracas,deepseek-v4-pro,3,Anaphora,20,28,0.7142857142857143
fracas,deepseek-v4-pro,4,Ellipsis,34,55,0.6181818181818182
fracas,deepseek-v4-pro,5,Adjectives,17,23,0.7391304347826086
fracas,deepseek-v4-pro,6,Comparatives,22,31,0.7096774193548387
fracas,deepseek-v4-pro,7,Temporal Reference,51,71,0.7183098591549296
fracas,deepseek-v4-pro,8,Verbs,7,8,0.875
fracas,deepseek-v4-pro,9,Attitudes,11,13,0.8461538461538461
fracas,gpt-4o,1,Generalized Quantifiers,62,80,0.775
fracas,gpt-4o,2,Plurals,23,33,0.696969696969697
fracas,gpt-4o,3,Anaphora,21,28,0.75
fracas,gpt-4o,4,Ellipsis,28,55,0.509090909090909
fracas,gpt-4o,5,Adjectives,19,23,0.8260869565217391
fracas,gpt-4o,6,Comparatives,24,31,0.7741935483870968
fracas,gpt-4o,7,Temporal Reference,52,71,0.7323943661971831
fracas,gpt-4o,8,Verbs,7,8,0.875
fracas,gpt-4o,9,Attitudes,12,13,0.9230769230769231
fracas,gpt-5.4,1,Generalized Quantifiers,70,80,0.875
fracas,gpt-5.4,2,Plurals,26,33,0.7878787878787878
fracas,gpt-5.4,3,Anaphora,20,28,0.7142857142857143
fracas,gpt-5.4,4,Ellipsis,36,55,0.6545454545454545
fracas,gpt-5.4,5,Adjectives,15,23,0.6521739130434783
fracas,gpt-5.4,6,Comparatives,22,31,0.7096774193548387
fracas,gpt-5.4,7,Temporal Reference,53,71,0.7464788732394366
fracas,gpt-5.4,8,Verbs,6,8,0.75
fracas,gpt-5.4,9,Attitudes,11,13,0.8461538461538461
fracas,grok-4-20,1,Generalized Quantifiers,64,80,0.8
fracas,grok-4-20,2,Plurals,26,33,0.7878787878787878
fracas,grok-4-20,3,Anaphora,19,28,0.6785714285714286
fracas,grok-4-20,4,Ellipsis,31,55,0.5636363636363636
fracas,grok-4-20,5,Adjectives,16,23,0.6956521739130435
fracas,grok-4-20,6,Comparatives,24,31,0.7741935483870968
fracas,grok-4-20,7,Temporal Reference,47,71,0.6619718309859155
fracas,grok-4-20,8,Verbs,7,8,0.875
fracas,grok-4-20,9,Attitudes,11,13,0.8461538461538461
fracas,grok-4-20-reasoning,1,Generalized Quantifiers,60,80,0.75
fracas,grok-4-20-reasoning,2,Plurals,26,33,0.7878787878787878
fracas,grok-4-20-reasoning,3,Anaphora,21,28,0.75
fracas,grok-4-20-reasoning,4,Ellipsis,38,55,0.6909090909090909
fracas,grok-4-20-reasoning,5,Adjectives,18,23,0.782608695652174
fracas,grok-4-20-reasoning,6,Comparatives,26,31,0.8387096774193549
fracas,grok-4-20-reasoning,7,Temporal Reference,53,71,0.7464788732394366
fracas,grok-4-20-reasoning,8,Verbs,8,8,1.0
fracas,grok-4-20-reasoning,9,Attitudes,11,13,0.8461538461538461
fracas,llama-3.3-70b,1,Generalized Quantifiers,53,80,0.6625
fracas,llama-3.3-70b,2,Plurals,25,33,0.7575757575757576
fracas,llama-3.3-70b,3,Anaphora,23,28,0.8214285714285714
fracas,llama-3.3-70b,4,Ellipsis,37,55,0.6727272727272727
fracas,llama-3.3-70b,5,Adjectives,15,23,0.6521739130434783
fracas,llama-3.3-70b,6,Comparatives,24,31,0.7741935483870968
fracas,llama-3.3-70b,7,Temporal Reference,51,71,0.7183098591549296
fracas,llama-3.3-70b,8,Verbs,7,8,0.875
fracas,llama-3.3-70b,9,Attitudes,9,13,0.6923076923076923
fracas,llama-4-maverick,1,Generalized Quantifiers,52,80,0.65
fracas,llama-4-maverick,2,Plurals,25,33,0.7575757575757576
fracas,llama-4-maverick,3,Anaphora,23,28,0.8214285714285714
fracas,llama-4-maverick,4,Ellipsis,36,55,0.6545454545454545
fracas,llama-4-maverick,5,Adjectives,14,23,0.6086956521739131
fracas,llama-4-maverick,6,Comparatives,22,31,0.7096774193548387
fracas,llama-4-maverick,7,Temporal Reference,50,71,0.704225352112676
fracas,llama-4-maverick,8,Verbs,7,8,0.875
fracas,llama-4-maverick,9,Attitudes,10,13,0.7692307692307693
fracas,mistral-large-3,1,Generalized Quantifiers,46,80,0.575
fracas,mistral-large-3,2,Plurals,23,33,0.696969696969697
fracas,mistral-large-3,3,Anaphora,20,28,0.7142857142857143
fracas,mistral-large-3,4,Ellipsis,30,55,0.5454545454545454
fracas,mistral-large-3,5,Adjectives,12,23,0.5217391304347826
fracas,mistral-large-3,6,Comparatives,22,31,0.7096774193548387
fracas,mistral-large-3,7,Temporal Reference,48,71,0.676056338028169
fracas,mistral-large-3,8,Verbs,5,8,0.625
fracas,mistral-large-3,9,Attitudes,8,13,0.6153846153846154
fracas-multilabel,deepseek-r1,1,Generalized Quantifiers,323,436,0.7408256880733946
fracas-multilabel,deepseek-r1,2,Plurals,152,184,0.8260869565217391
fracas-multilabel,deepseek-r1,3,Anaphora,89,146,0.6095890410958904
fracas-multilabel,deepseek-r1,4,Ellipsis,42,68,0.6176470588235294
fracas-multilabel,deepseek-r1,5,Adjectives,168,232,0.7241379310344828
fracas-multilabel,deepseek-r1,6,Comparatives,32,53,0.6037735849056604
fracas-multilabel,deepseek-r1,7,Temporal Reference,233,310,0.7516129032258064
fracas-multilabel,deepseek-r1,8,Verbs,24,32,0.75
fracas-multilabel,deepseek-r1,9,Attitudes,81,105,0.7714285714285715
